student_id_new,acct_id_new,person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id,gender,city,state,zip,ethnicity
7903,10220,13653,35,17,5,11.0,N,N,0.0,4,0,,0,12,M,Rutherfordton,NC,28139,0
7904,16977,25855,74,3,7,7.0,N,N,2.0,28,13,2.0,0,11,F,Cherokee,NC,28719,0
7905,11541,17378,15,1,5,6.0,N,Y,2.79643,1,2,2.30833,0,11,M,North Wilkesboro,NC,28659,0
7906,5405,4562,31,16,5,8.0,N,N,3.2125,10,6,3.00833,0,11,M,Marshall,NC,28753,0
7907,16140,1188,13,23,5,9.0,N,N,,51,0,,0,12,F,Deep Gap,NC,28618,0
7908,127,22557,5,14,5,8.0,N,N,3.76429,0,6,3.66667,0,11,M,Roaring River,NC,28669,2
7909,6709,6243,17,19,5,6.0,N,N,3.44167,3,3,2.96667,0,12,F,Marshall,NC,28753,0
7910,15852,2564,23,17,5,10.0,N,N,0.0,1,0,,0,12,M,Rutherfordton,NC,28139,0
7911,8654,15122,12,17,5,11.0,N,N,0.0,0,0,,0,12,M,Ellenboro,NC,28040,0
7912,6917,22759,50,8,9,9.0,N,N,2.62917,18,10,2.025,2,12,F,Sparta,NC,28675,2
7913,4599,1200,38,13,6,6.0,N,N,3.4619,0,6,3.75,0,12,M,Robbinsville,NC,28771,0
7914,4918,19422,11,1,5,6.0,N,N,3.95,0,2,3.95,0,12,F,North Wilkesboro,NC,28659,0
7915,1552,24919,35,17,1,10.0,N,N,0.0,0,0,,0,12,F,Forest City,NC,28043,0
7916,1930,6226,23,17,2,10.0,N,N,0.0,2,0,,0,12,M,Forest City,NC,28043,0
7917,4649,18393,11,1,5,7.0,N,Y,2.69643,4,1,2.49167,1,11,M,North Wilkesboro,NC,28659,0
7918,16356,2940,17,19,5,8.0,N,N,2.5375,5,9,1.9,2,12,M,Marshall,NC,28753,0
7919,287,11228,35,17,5,12.0,N,N,0.0,0,1,,0,12,M,Rutherfordton,NC,28139,0
7920,14617,17356,7,9,5,7.0,N,N,0.83333,2,2,0.83333,8,11,F,Rutherfordton,NC,28139,0
7921,11166,18046,70,6,5,8.0,N,N,3.175,5,8,3.175,0,11,F,Hayesville,NC,28904,0
7922,2069,27833,62,12,5,9.0,N,N,3.3375,5,1,3.925,1,12,M,Rutherfordton,NC,28139,0
7923,6141,16964,51,10,5,6.0,N,N,3.04167,8,2,2.84615,0,12,M,Fallston,NC,28042,0
7924,4531,13318,16,10,9,6.0,N,N,2.75676,5,1,2.33333,0,12,M,Morganton,NC,28655,1
7925,5044,6375,23,17,5,10.0,N,N,0.0,0,0,,0,12,F,Cliffside,NC,28024,0
7926,3399,25458,7,9,2,6.0,N,N,2.25,0,0,2.25,0,11,F,Rutherfordton,NC,28139,0
7927,15014,27236,2,14,5,8.0,N,N,3.64286,1,5,3.33333,0,11,F,Ferguson,NC,28624,2
7928,13054,8667,55,10,1,6.0,N,N,3.0,1,1,2.73333,0,12,M,Morganton,NC,28655,0
7929,2886,29190,61,21,9,9.0,N,N,2.68235,7,0,1.95,2,12,M,Valdese,NC,28690,1
7930,15301,11007,19,11,5,9.0,N,N,2.86471,3,4,3.375,2,12,M,Almond,NC,28702,0
7931,2491,26247,75,4,5,6.0,N,N,3.25,26,2,3.25,0,12,F,Burnsville,NC,28714,0
7932,9063,7757,4,14,7,9.0,N,N,0.0,14,0,0.0,3,12,M,Elkin,NC,28621,2
7933,10780,25716,25,4,5,6.0,N,N,1.6,25,6,1.6,0,12,F,Burnsville,NC,28714,0
7934,11751,13701,61,21,9,9.0,N,N,2.84706,5,0,2.6,0,12,F,Drexel,NC,28619,1
7935,369,28620,20,17,5,7.0,N,N,0.0,0,0,,0,12,M,Forest City,NC,28043,0
7936,16476,22095,31,16,5,8.0,N,N,3.09583,15,1,2.725,0,11,F,Mars Hill,NC,28754,0
7937,3198,19401,49,10,5,7.0,N,Y,3.35714,0,0,3.0,0,11,M,Connelly Springs,NC,28612,0
7938,11229,5019,10,17,5,6.0,N,N,0.0,0,0,,0,12,F,Rutherfordton,NC,28139,0
